38 Provinsi,,,
,Tingkat Pengangguran Terbuka Menurut Provinsi (Persen),,
,2001,,
,Februari,Agustus,Tahunan
ACEH,-,-,7.71
SUMATERA UTARA,-,-,9.09
SUMATERA BARAT,-,-,8.74
RIAU,-,-,6.43
JAMBI,-,-,5.61
SUMATERA SELATAN,-,-,6.32
BENGKULU,-,-,6.01
LAMPUNG,-,-,6.39
KEP. BANGKA BELITUNG,-,-,7.08
KEP. RIAU,-,-,-
DKI JAKARTA,-,-,15.07
JAWA BARAT,-,-,11.77
JAWA TENGAH,-,-,6.17
DI YOGYAKARTA,-,-,5.18
JAWA TIMUR,-,-,6.51
BANTEN,-,-,12.32
BALI,-,-,2.89
NUSA TENGGARA BARAT,-,-,5.82
NUSA TENGGARA TIMUR,-,-,4.26
KALIMANTAN BARAT,-,-,4.84
KALIMANTAN TENGAH,-,-,6.14
KALIMANTAN SELATAN,-,-,5.91
KALIMANTAN TIMUR,-,-,6.81
KALIMANTAN UTARA,-,-,-
SULAWESI UTARA,-,-,10.21
SULAWESI TENGAH,-,-,8.25
SULAWESI SELATAN,-,-,10.39
SULAWESI TENGGARA,-,-,7.51
GORONTALO,-,-,7.78
SULAWESI BARAT,-,-,-
MALUKU,-,-,11.28
MALUKU UTARA,-,-,9.32
PAPUA BARAT,-,-,-
PAPUA BARAT DAYA,-,-,-
PAPUA,-,-,5.82
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,-,-,8.1
