38 Provinsi,,,
,Tingkat Pengangguran Terbuka Menurut Provinsi (Persen),,
,2005,,
,Februari,Agustus,Tahunan
ACEH,12.5,14,-
SUMATERA UTARA,10.98,11.9,-
SUMATERA BARAT,11.5,13.34,-
RIAU,13.91,12.16,-
JAMBI,8.59,10.74,-
SUMATERA SELATAN,8.56,12.82,-
BENGKULU,6.15,8.91,-
LAMPUNG,6.85,8.47,-
KEP. BANGKA BELITUNG,8.1,7.19,-
KEP. RIAU,-,-,-
DKI JAKARTA,14.73,15.77,-
JAWA BARAT,14.73,15.53,-
JAWA TENGAH,8.51,9.54,-
DI YOGYAKARTA,5.05,7.59,-
JAWA TIMUR,8.45,8.51,-
BANTEN,14.23,16.59,-
BALI,4.03,5.32,-
NUSA TENGGARA BARAT,8.93,10.29,-
NUSA TENGGARA TIMUR,5.46,4.82,-
KALIMANTAN BARAT,8.61,8.13,-
KALIMANTAN TENGAH,4.85,4.91,-
KALIMANTAN SELATAN,6.18,7.34,-
KALIMANTAN TIMUR,9.04,11.17,-
KALIMANTAN UTARA,-,-,-
SULAWESI UTARA,14.4,14.05,-
SULAWESI TENGAH,7.63,7.71,-
SULAWESI SELATAN,13.58,15.93,-
SULAWESI TENGGARA,8.92,10.93,-
GORONTALO,9.79,14.04,-
SULAWESI BARAT,-,-,-
MALUKU,12.3,15.01,-
MALUKU UTARA,8.88,13.09,-
PAPUA BARAT,-,-,-
PAPUA BARAT DAYA,-,-,-
PAPUA,7.12,7.31,-
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,10.26,11.24,-
