Year,Province,Month,Annual
2001,ACEH,,7.71
2001,SUMATERA UTARA,,9.09
2001,SUMATERA BARAT,,8.74
2001,RIAU,,6.43
2001,JAMBI,,5.61
2001,SUMATERA SELATAN,,6.32
2001,BENGKULU,,6.01
2001,LAMPUNG,,6.39
2001,KEP. BANGKA BELITUNG,,7.08
2001,KEP. RIAU,,
2001,DKI JAKARTA,,15.07
2001,JAWA BARAT,,11.77
2001,JAWA TENGAH,,6.17
2001,DI YOGYAKARTA,,5.18
2001,JAWA TIMUR,,6.51
2001,BANTEN,,12.32
2001,BALI,,2.89
2001,NUSA TENGGARA BARAT,,5.82
2001,NUSA TENGGARA TIMUR,,4.26
2001,KALIMANTAN BARAT,,4.84
2001,KALIMANTAN TENGAH,,6.14
2001,KALIMANTAN SELATAN,,5.91
2001,KALIMANTAN TIMUR,,6.81
2001,KALIMANTAN UTARA,,
2001,SULAWESI UTARA,,10.21
2001,SULAWESI TENGAH,,8.25
2001,SULAWESI SELATAN,,10.39
2001,SULAWESI TENGGARA,,7.51
2001,GORONTALO,,7.78
2001,SULAWESI BARAT,,
2001,MALUKU,,11.28
2001,MALUKU UTARA,,9.32
2001,PAPUA BARAT,,
2001,PAPUA BARAT DAYA,,
2001,PAPUA,,5.82
2001,PAPUA SELATAN,,
2001,PAPUA TENGAH,,
2001,PAPUA PEGUNUNGAN,,
2002,ACEH,,9.34
2002,SUMATERA UTARA,,10.3
2002,SUMATERA BARAT,,9.62
2002,RIAU,,9.57
2002,JAMBI,,5.78
2002,SUMATERA SELATAN,,8.14
2002,BENGKULU,,6.45
2002,LAMPUNG,,8.32
2002,KEP. BANGKA BELITUNG,,5.23
2002,KEP. RIAU,,
2002,DKI JAKARTA,,14.39
2002,JAWA BARAT,,13.19
2002,JAWA TENGAH,,6.66
2002,DI YOGYAKARTA,,5.21
2002,JAWA TIMUR,,6.43
2002,BANTEN,,14.15
2002,BALI,,4.52
2002,NUSA TENGGARA BARAT,,6.94
2002,NUSA TENGGARA TIMUR,,4.35
2002,KALIMANTAN BARAT,,8.57
2002,KALIMANTAN TENGAH,,6.38
2002,KALIMANTAN SELATAN,,9.22
2002,KALIMANTAN TIMUR,,11.76
2002,KALIMANTAN UTARA,,
2002,SULAWESI UTARA,,11.35
2002,SULAWESI TENGAH,,8.06
2002,SULAWESI SELATAN,,12.29
2002,SULAWESI TENGGARA,,8.33
2002,GORONTALO,,13.17
2002,SULAWESI BARAT,,
2002,MALUKU,,8.08
2002,MALUKU UTARA,,15.25
2002,PAPUA BARAT,,
2002,PAPUA BARAT DAYA,,
2002,PAPUA,,6.01
2002,PAPUA SELATAN,,
2002,PAPUA TENGAH,,
2002,PAPUA PEGUNUNGAN,,
2003,ACEH,,8.97
2003,SUMATERA UTARA,,11.02
2003,SUMATERA BARAT,,10.38
2003,RIAU,,10.74
2003,JAMBI,,6.5
2003,SUMATERA SELATAN,,9.08
2003,BENGKULU,,7.48
2003,LAMPUNG,,9.14
2003,KEP. BANGKA BELITUNG,,7.37
2003,KEP. RIAU,,
2003,DKI JAKARTA,,14.86
2003,JAWA BARAT,,12.49
2003,JAWA TENGAH,,7.02
2003,DI YOGYAKARTA,,5.62
2003,JAWA TIMUR,,8.79
2003,BANTEN,,14.18
2003,BALI,,5.36
2003,NUSA TENGGARA BARAT,,6.34
2003,NUSA TENGGARA TIMUR,,4.02
2003,KALIMANTAN BARAT,,6.53
